year,games,score,team
1969,G1,118,Celtics
1969,G1,120,Lakers
1969,G2,112,Celtics
1969,G2,118,Lakers
1969,G3,105,Lakers
1969,G3,111,Celtics
1969,G4,88,Lakers
1969,G4,89,Celtics
1969,G5,104,Celtics
1969,G5,117,Lakers
1969,G6,90,Lakers
1969,G6,99,Celtics
1969,G7,108,Celtics
1969,G7,106,Lakers
1970,G1,112,Lakers
1970,G1,124,Knicks
1970,G2,105,Lakers
1970,G2,103,Knicks
1970,G3,111,Knicks
1970,G3,108,Lakers
1970,G4,115,Knicks
1970,G4,121,Lakers
1970,G5,100,Lakers
1970,G5,107,Knicks
1970,G6,113,Knicks
1970,G6,135,Lakers
1970,G7,99,Lakers
1970,G7,113,Knicks
1971,G1,88,Bullets
1971,G1,98,Bucks
1971,G2,102,Bucks
1971,G2,83,Bullets
1971,G3,99,Bullets
1971,G3,107,Bucks
1971,G4,118,Bucks
1971,G4,106,Bullets
1972,G1,114,Knicks
1972,G1,92,Lakers
1972,G2,92,Knicks
1972,G2,106,Lakers
1972,G3,107,Lakers
1972,G3,96,Knicks
1972,G4,116,Lakers
1972,G4,111,Knicks
1972,G5,100,Knicks
1972,G5,114,Lakers
1973,G1,112,Knicks
1973,G1,115,Lakers
1973,G2,99,Knicks
1973,G2,95,Lakers
1973,G3,83,Lakers
1973,G3,87,Knicks
1973,G4,98,Lakers
1973,G4,103,Knicks
1973,G5,102,Knicks
1973,G5,93,Lakers
1974,G1,98,Celtics
1974,G1,83,Bucks
1974,G2,96,Celtics
1974,G2,105,Bucks
1974,G3,83,Bucks
1974,G3,95,Celtics
1974,G4,97,Bucks
1974,G4,89,Celtics
1974,G5,96,Celtics
1974,G5,87,Bucks
1974,G6,102,Bucks
1974,G6,101,Celtics
1974,G7,102,Celtics
1974,G7,87,Bucks
1975,G1,101,Warriors
1975,G1,95,Bullets
1975,G2,91,Bullets
1975,G2,92,Warriors
1975,G3,101,Bullets
1975,G3,109,Warriors
1975,G4,96,Warriors
1975,G4,95,Bullets
1976,G1,87,Suns
1976,G1,98,Celtics
1976,G2,90,Suns
